Time,LearningRate_1,TrainLoss_1,ValidationLoss_1,rmse_1
0.011161565780639648,9.045084971874738e-05,0.2556148171424866,0.23434166610240936,0.025994062423706055
0.01820087432861328,6.545084971874737e-05,0.2534776031970978,0.23672524094581604,0.026634305715560913
0.025171756744384766,3.454915028125263e-05,0.2509998083114624,0.2373569905757904,0.026590893045067787
0.0320742130279541,9.549150281252631e-06,0.25039365887641907,0.2384921759366989,0.026826653629541397
0.03902626037597656,0.0,0.2496655285358429,0.23859700560569763,0.026509221643209457
0.046103477478027344,9.549150281252628e-06,0.24954068660736084,0.23859700560569763,0.026763012632727623
0.05322837829589844,3.454915028125264e-05,0.24949641525745392,0.2387206107378006,0.026735618710517883
0.060301780700683594,6.54508497187474e-05,0.24933990836143494,0.2386494129896164,0.026669228449463844
0.06733393669128418,9.045084971874742e-05,0.24870507419109344,0.24030132591724396,0.02700713276863098
0.07962703704833984,0.00010000000000000005,0.24804072082042694,0.24243173003196716,0.02713857963681221
0.0865776538848877,9.045084971874745e-05,0.24680761992931366,0.24191264808177948,0.02708846889436245
0.09351420402526855,6.545084971874741e-05,0.24539852142333984,0.24205324053764343,0.027180448174476624
0.1291642189025879,3.4549150281252656e-05,0.23668606579303741,0.22857657074928284,0.0270524974912405
0.13855648040771484,9.549150281252641e-06,0.23491418361663818,0.22738666832447052,0.026650389656424522
0.14772868156433105,0.0,0.2338208705186844,0.22691896557807922,0.026444319635629654
0.15461230278015137,9.549150281252628e-06,0.23323938250541687,0.22691896557807922,0.026544073596596718
0.16385793685913086,3.454915028125265e-05,0.23313140869140625,0.22656551003456116,0.026606887578964233
0.1728675365447998,6.545084971874744e-05,0.23223188519477844,0.22562694549560547,0.026450511068105698
0.18199944496154785,9.045084971874748e-05,0.2308635264635086,0.2235930860042572,0.02589123323559761
0.19690346717834473,0.00010000000000000014,0.22859922051429749,0.22148923575878143,0.025828739628195763
0.20602965354919434,9.045084971874752e-05,0.2265753448009491,0.2210543155670166,0.025690089911222458
0.2153024673461914,6.545084971874759e-05,0.2248392552137375,0.22059383988380432,0.025686826556921005
0.22447991371154785,3.4549150281252704e-05,0.22329004108905792,0.22000877559185028,0.025437872856855392
0.23137569427490234,9.549150281252658e-06,0.2220725119113922,0.22013095021247864,0.025293152779340744
0.2380661964416504,0.0,0.22161796689033508,0.22027330100536346,0.025659402832388878
0.24494075775146484,9.549150281252628e-06,0.221405029296875,0.22027333080768585,0.02536166086792946
0.2516617774963379,3.4549150281252656e-05,0.22137944400310516,0.2203308641910553,0.024972612038254738
0.2583034038543701,6.545084971874745e-05,0.22108712792396545,0.220419242978096,0.0257145706564188
0.26518678665161133,9.04508497187475e-05,0.22034254670143127,0.22061696648597717,0.025582801550626755
0.27692461013793945,0.00010000000000000018,0.21950967609882355,0.2202029973268509,0.025709902867674828
0.28390979766845703,9.045084971874756e-05,0.2177221029996872,0.22039088606834412,0.02573642134666443
0.2906327247619629,6.545084971874752e-05,0.21588099002838135,0.2213704138994217,0.02561504766345024
0.29799890518188477,3.454915028125273e-05,0.21474632620811462,0.2214600294828415,0.025735948234796524
0.30481934547424316,9.549150281252674e-06,0.21360602974891663,0.22178907692432404,0.025838082656264305
